attribute,group,privileged_group,n_samples,n_positives,n_negatives,spd,dir,eod,aod,fpr_diff,fnr_diff,spd_fair,dir_fair,eod_fair,eod_reliable,fpr_reliable,note
Age,Young (<30),Middle-aged (30-50),3939,202,3737,-0.20794225360710045,0.15652602241623004,-0.17057655633637236,-0.12082640320605066,-0.07107625007572896,0.17057655633637236,False,False,False,True,True,
Age,Senior (>50),Middle-aged (30-50),2566,886,1680,0.0679665441795671,1.2756919787456076,0.0758530527644925,0.0611773618041343,0.0465016708437761,-0.0758530527644925,True,True,True,True,True,
Gender,Female,Male,4390,510,3880,-0.18476728118205787,0.28605922551252844,-0.15253416934796366,-0.1147671457961855,-0.07700012224440732,0.1525341693479637,False,False,False,True,True,
Race,Black,White,1253,153,1100,-0.13656881019799055,0.3593880710391446,-0.1822496077155651,-0.11470254032071539,-0.04715547292586568,0.1822496077155651,False,False,False,True,True,
Race,Asian-Pac-Islander,White,389,106,283,0.03360170088389619,1.1576176169975532,0.07579700715679893,0.043490378422887124,0.011183749688975314,-0.07579700715679893,True,True,True,True,True,
Race,Amer-Indian-Eskimo,White,146,14,132,-0.13784246575342465,0.3534136546184739,-0.09401431359791801,-0.0704333781103767,-0.046852442622835375,0.09401431359791801,False,False,True,True,True,
Race,Other,White,99,15,84,-0.1424778607997786,0.3316701148026449,-0.32734764693125135,-0.18439441707141566,-0.041441187211579966,0.3273476469312514,False,False,False,True,True,
