C,accuracy,f1,roc_auc,spd,dir,eod,worst_group,n_groups_failing_four_fifths
0.001,0.8287757057566153,0.5738396624472574,0.889747490542627,-0.2598336704877501,0.0,,Male_Other_Young (<30),23
0.002848035868435802,0.838210363381735,0.6188574405278694,0.895980685652628,-0.293549112160036,0.0,,Female_Amer-Indian-Eskimo_Young (<30),23
0.008111308307896872,0.8415272352030663,0.6360866621530129,0.8999185204206102,-0.306136210384356,0.0,,Female_Amer-Indian-Eskimo_Young (<30),22
0.02310129700083159,0.8426328591435099,0.6435131073634998,0.9016238642626863,-0.3133288379411104,0.0,-0.5997719498289624,Male_Amer-Indian-Eskimo_Young (<30),22
0.0657933224657568,0.8435910665585612,0.6480928689883914,0.9020643582291752,-0.31602607327489324,0.0,-0.6054732041049031,Male_Amer-Indian-Eskimo_Young (<30),22
0.1873817422860383,0.8440333161347388,0.6500165398610651,0.9021515068402917,-0.31670038210833895,0.0,-0.6071835803876853,Male_Amer-Indian-Eskimo_Young (<30),22
0.5336699231206307,0.8441070243974349,0.651277823577906,0.9022717369476009,-0.31827376938637897,0.0,,Male_Other_Young (<30),22
1.5199110829529332,0.8438858996093462,0.650610359617288,0.9022216920762676,-0.31827376938637897,0.0,,Male_Other_Young (<30),22
4.328761281083057,0.8436647748212575,0.6501731815932706,0.9022334090467254,-0.31849853899752756,0.0,,Male_Other_Young (<30),22
12.32846739442066,0.8436647748212575,0.6501731815932706,0.9022592621631335,-0.31827376938637897,0.0,,Male_Other_Young (<30),22
35.11191734215127,0.8435910665585612,0.649950511382382,0.9022933637935702,-0.3178242301640818,0.0,,Male_Other_Young (<30),22
100.0,0.8438858996093462,0.6508407517309595,0.9022454174841099,-0.31827376938637897,0.0,,Male_Other_Young (<30),22
